City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,invercargill,-46.4,168.35,284.59,77,6,2.68,NZ,1698648374
1,quelimane,-17.8786,36.8883,301.12,74,75,11.83,MZ,1698648375
2,port-aux-francais,-49.35,70.2167,275.16,62,86,14.51,TF,1698648375
3,adamstown,-25.066,-130.1015,295.84,83,100,4.23,PN,1698648375
4,wagga wagga,-35.1167,147.3667,296.7,29,100,9.16,AU,1698648375
5,jamestown,42.097,-79.2353,281.49,100,100,0.45,US,1698648092
6,birjand,32.8663,59.2211,298.41,19,0,2.06,IR,1698648376
7,ust-nera,64.5667,143.2,258.1,97,100,0.51,RU,1698648315
8,cabo san lucas,22.8909,-109.9124,298.43,76,0,0.89,MX,1698648364
9,sabang,5.8933,95.3214,300.69,76,70,3.18,ID,1698648377
10,papatowai,-46.5619,169.4708,284.43,83,6,4.29,NZ,1698648377
11,vorgashor,67.5833,63.95,256.51,95,43,2.13,RU,1698648377
12,mossendjo,-2.9506,12.7261,297.48,89,91,1.76,CG,1698648378
13,arvayheer,46.2639,102.775,281.23,34,94,4.58,MN,1698648378
14,zalesovo,53.9939,84.7431,273.2,56,100,2.96,RU,1698648378
15,tadine,-21.55,167.8833,293.55,64,5,5.03,NC,1698648379
16,hawaiian paradise park,19.5933,-154.9731,296.98,94,75,2.06,US,1698648315
17,auburn,47.3073,-122.2284,280.57,85,0,4.12,US,1698648379
18,blackmans bay,-43.0167,147.3167,289.22,46,100,4.73,AU,1698648330
19,tiassale,5.8983,-4.8283,297.3,96,9,0.42,CI,1698648379
20,remire-montjoly,4.9167,-52.2667,297.17,100,0,0.0,GF,1698648360
21,waitangi,-43.9535,-176.5597,284.16,83,95,0.45,NZ,1698648380
22,metlili chaamba,32.2667,3.6333,294.67,23,0,1.54,DZ,1698648380
23,tiksi,71.6872,128.8694,254.53,99,96,3.22,RU,1698648380
24,charters towers,-20.1,146.2667,303.97,25,100,7.17,AU,1698648381
25,hammerfest,70.6634,23.6821,270.4,86,40,1.03,NO,1698648381
26,port alfred,-33.5906,26.891,288.81,68,100,1.79,ZA,1698648357
27,keflavik,64.0049,-22.5624,277.39,75,0,3.6,IS,1698648381
28,kitimat,54.0524,-128.6534,271.36,73,81,0.68,CA,1698648381
29,whitehorse,60.7161,-135.0538,272.6,86,100,4.63,CA,1698648382
30,fale old settlement,-9.3852,-171.2468,301.99,75,29,7.14,TK,1698648382
31,lebu,-37.6167,-73.65,280.81,62,95,2.17,CL,1698648382
